51,Gold Rush,"2 oz Bourbon
0.75 oz Honey Syrup (3:1)
0.75 oz Lemon Juice",Shake ,On the Rocks,Lemon Twist,Collins,
52,Gordon's Breakfast,"6 Lime Wedges
3 Cucumber Wheels
0.75 oz Simple Syrup
2 Barspoons Cholula
1 Barspoon Worcestshire
Salt and Pepper",Shake,On the Rocks,Cucumber,Old Fashioned,Chilled Glass
53,Gordon's Cup,"8 Lime Wedges
4 Cucumber Wheels
0.75 oz Simple Syrup
2 oz London Dry Gin
Salt and Pepper",Shake,On the Rocks,Cucumber,Old Fashioned,Chilled Glass
54,Grasshopper,"1 oz Crème de Cacao
1 oz Crème de Menth
1 oz Milk",Shake,Straight Up,,Shooter,
55,Halekulani,"0.5 oz Lime Juice
0.5 oz Orange Juice
0.5 oz Pineapple Juice
0.25 oz Demerra Syrup
Half a Teaspoon Grenadine
1.5 oz Bourbon
Atomized Bitters",Shake,Cracked Ice,Orchid,Coupe,Flame Bitters
56,Hemingway Daiquiri,"0.25 oz Luxardo Maraschino
0.25 oz Grapefruit Juice
.75 oz Lime Juice
2 oz White Rhum Agricole ",Shake,Straight Up,Lime Wheel,Coupe,Shake over cracked ice
57,Holland Razor,"2 oz Genever
0.75 oz Lemon Juice
0.75 oz Simple Syrup",Shake double strain ,Straight Up,Cayenne Pepper,Nick and Nora,
58,Hot Toddy,"2 oz Whiskey
0.5 oz Simple Syrup
2 dashes Angostura Bitters
4 oz near boiling water",Built,Straight Up,Lemon Twist,Hot Toddy Glass Mug,
59,Hurricane,"0.5 oz Lime Juice
0.75oz Fassionola
0.75 oz Orange Juice
1 oz Jamaican Rum
1 oz Rhum Barbancourt White",Shake,Cracked Ice,Pineapple Wedge,Hurricane,Open Pour
60,Icepick Trotsky Mojito,"2 oz Vodka
1 oz Lime Juice
0.75 oz Simple Syrup
2 Dill Fronds
Top Seltzer",Shake double strain ,On the Rocks,Dill Frond,Collins,
61,Improved Whiskey Cocktail,"2 oz Rye
0.25 oz Maraschino
.25 oz Simple Syrup
2 Dashes of Bitters
1 Dash of Absinthe ",Stir,Straight Up,Lemon Pepper,Coupe,
62,Infante ,"2 oz Reposado Tequila
0.75 oz Lime Juice
0.75 oz Orgeat
Top Grated Nutmeg",Shake double strain ,On the Rocks,Grated Nutmeg,Old Fashioned,
63,Irish Coffee,"1 oz Bushmill's Irish Whiskey
~.5 oz Simple Syrup
3.5 oz.Hot Coffee",Built,Straight Up,Grated Nutmeg,Hot Toddy Glass Mug,top with whipped crème and nutmeg
64,Jack Rose,"0.5 oz Grenadine
1 oz Lime Juice
2 oz or 60 ml AppleJack ",Shake,Straight Up,Lime Wheel,Coupe,
65,Jager Buck,"1.5 oz Jagermeister
0.75 oz Ginger Syrup
0.5 oz Lime Juice
Top Seltzer",Shake double strain ,On the Rocks,Candied Ginger,Collins,
66,Jasmine,"1.5 oz Gin
0.75 oz Lemon Juice
0.25 oz Cointreau
0.25 oz Campari",Shake double strain ,Straight Up,Lemon Peele,Coupe,
67,Jet Pilot,"0.5 oz Lime Juice
0.5 oz Grapefruit Syrup
0.5 oz Cinnamon Syrup
0.5 oz Velvet Falernum
1 oz Pot Still Rum
0.75 oz Blended Aged Rum
0.75 oz Overproof Rum
One Dash of Herbstura",Shake,Cracked Ice,,Tiki Glass,Shake and serve over crushed ice
68,Junior,"1.5 oz Rye
0.5 oz Benedictine
0.5 oz Lime Juice
1 Dash Angostura Bitters",Shake double strain ,Straight Up,,Nick and Nora,
69,Kentucky Buck,"2 oz Bourbon
0.75 oz Lemon Juice
0.5 Simple Syrup
0.5 oz Ginger Syrup
Top Ginger Beer
2 Strawberries",Shake double strain ,On the Rocks,Strawberry,Collins,Muddle then shake
70,Knickerbocker,"2 oz Gold Rum
0.5 oz Curcuao
1 oz Lime Juice
0.5 oz Raspberry Syrup",Shake,Straight Up,Raspberries,Old Fashioned,1. Combine the ingredients in your cocktail shaker 2. Shake with ice 3. Strain over crushed ice into an old fashioned glass 4. Garnish with fresh raspberries
71,Last Word,"1 oz Gin
1 oz Lime Juice
1 oz Green Chartreuse
1 oz Maraschino Liqueur",Shake,Straight Up,,Cocktail Glass,
72,Legends of the Fall,"1.5 oz Applejack
0.5 oz Rye Whiskey
1 Barspoon Falernum
1 Dash Allspice Dram",Built,On the Rocks,Orange Twist,Old Fashioned,
73,Lion’s Tail,"2 oz Bourbon
4 dashes Angostura Bitters
0.5 oz Lime Juice
0.5 oz Simple Syrup
0.5 oz Allspice Dram",Shake,Straight Up,Orange Peel,Coupe,
74,Little Red Jacket,"1.5 oz Jagermeister
0.5 oz Aperol
0.25 oz Yellow Chartreuse
0.5 oz Lemon Juice
2 Strawberries",Shake double strain ,On the Rocks,Strawberry,Collins,Muddle and shake. Add soda to glass and then add drink. Top off with soda
75,Long Island Iced Tea,"0.75 oz Lemon Juice
.5 oz Gin
.5 oz Rum
.5 oz Tequila
.5 oz Vodka
.5 oz Dry Curaçao
.25 oz Simple Syrup
Top .75 oz Coca Cola",Shake,Ice Spear,Lemon Twist,Collins,
76,Mai Tai,"1 oz Jamaican Rum
1 oz Rhum Agricole
0.5 oz Dry Curaçao
0.5 oz Orgeat
0.25 oz Rock Candy Syrup
1 oz Lime Juice",Shake,Crushed Ice,Mint Sprig,Old Fashioned,Shake over crushed ice
77,Manhattan,"2 oz Rye
1 oz Sweet Vermouth
2 Dashes of Bitters",Stir,Straight Up,Maraschino Cherry,Cocktail Glass,
78,Margarita ,"1 oz Lime Juice
1 oz Curaçao
2 oz Tequila",Shake,Straight Up,Lime,Coupe,1. Add all ingrediants into shaker with ice and shake 2. Rim chilled glass with the used lime wedge 3. Rim glass with salt 4. Strain into glass and garnish with lime wheel
79,Martinez,"1 oz Old Tom Gin
2 oz Dry Vermouth
2 Dashes of Boker's Bitters
1 Barspoon of Maraschino",Stir,Straight Up,Lemon Twist,Nick and Nora,
80,Martini,"2 oz Old Tom Gin
1 oz French Vermouth
1 Dash Absinthe",Stir,Straight Up,Lemon Twist,Cocktail Glass,
81,Matador,"1.5 oz Blanco Tequila
0.75 oz Lime Juice
1 oz Pineapple Juice
1.5 tsp Green Chartreuse
1 tsp Agave Syrup",Shake double strain ,On the Rocks,Lime Wheel,Collins,
82,Medicina Latina,"2 oz Blanco Tequila
0.75 oz Lime Juice
0.375 oz Ginger Syrup
0.375 oz Honey Syrup
Float .25 oz Mezcal",Shake double strain ,On the Rocks,Candied Ginger,Old Fashioned,
83,Mexico Mango Mule,"2 oz Tequila
1 oz Lime Juice
1 oz Ginger Syrup
3 oz Seltzer
Muddled Mango
Muddled Jalapeno",Shake,,,,
