Mai Tai," 1 oz Jamaican Rum
1 oz Rhum Agricole
.5 oz Dry Curaçao
.5 oz Orgeat
.25 oz Rock Candy Syrup
1 oz Lime Juice",Shake,Crushed Ice,Mint Sprig,Old Fashioned,Shake over crushed ice
Manhattan,"2 oz Rye
1 oz Sweet Vermouth
2 Dashes of Bitters",Stir,Straight Up,Maraschino Cherry,Cocktail Glass,
Margarita ," 1 oz Lime Juice
1 oz Curaçao
2 oz Tequila",Shake,Straight Up,Lime,Coupe,1. Add all ingrediants into shaker with ice and shake 2. Rim chilled glass with the used lime wedge 3. Rim glass with salt 4. Strain into glass and garnish with lime wheel
Martinez,"1 oz Old Tom Gin
2 oz Dry Vermouth
2 Dashes of Boker's Bitters
1 Barspoon of Maraschino",Stir,Straight Up,Lemon Twist,Nick and Nora,
Martini,"2 oz Old Tom Gin
1 oz French Vermouth
1 Dash Absinthe",Stir,Straight Up,Lemon Twist,Cocktail Glass,
Matador,"1.5 oz Blanco Tequila
.75 oz Lime Juice
1 oz Pineapple Juice
1.5 tsp Green Chartreuse
1 tsp Agave Syrup","Shake, double strain ",On the Rocks,Lime Wheel,Collins,
Medicina Latina,"2 oz Blanco Tequila
.75 oz Lime Juice
.375 oz Ginger Syrup
.375 oz Honey Syrup
Float .25 oz Mezcal","Shake, double strain ",On the Rocks,Candied Ginger,Old Fashioned,
Mexico Mango Mule,"2 oz Tequila
1 oz Lime Juice
1 oz Ginger Syrup
3 oz Seltzer
Muddled Mango
Muddled Jalapeno",Shake,,,,
Midori Sour,"1 oz Midori
1 oz Vodka
1 oz Sour Mix
Top with Seltzer",Shake,Cracked Ice,Lime Wheel,Collins,
Mint Julep,"1.25 oz Bourbon
1 oz Simple Syrup (1:1)
3 dashes of Angostura Bitters
6-8 Mint Leaves","Shake, double strain ",Cracked Ice,Mint Sprig,Julep,1. Add all the ingredients to your cocktail shaker 2. Shake & double strain over crushed ice into a julep cup (or an old fashioned glass) 3. Stir to frost up the julep cup 4. Garnish with a mint sprig
Mojito,"2 oz White Rum
1 oz Lime Juice
1 oz Simple Syrup (1:1)
6-8 Mint Leaves
2 oz Soda",Built,Ice Spear,Mint Sprig,Collins,
Monte Carlo,"2 oz Rye
.5 oz Benedictine
1 dash Angostura Bitters",Stir,On the Rocks,,Old Fashioned,
Morning Glory Fizz,"2 oz Blended Scotch
.75 oz Lemon Juice
.75 oz Simple Syrup
1 Egg White
Absinthe Rinse
Top Seltzer",Shake,Straight Up,Orange Peel,Collins,
